id,filename,relative_path,category,status,model_used,prompt_tokens,completion_tokens,total_cost_usd,date_processed,page_count,output_md_path,notes
30,Ashktorab_2020_Human-AI_Collaboration.pdf,pdfs/ai-creative-writing/Ashktorab_2020_Human-AI_Collaboration.pdf,ai-creative-writing,completed,Google Gemini 2.0 Flash,20059,8192,0.005283,2025-12-04T20:08:50.868254,20,md/ai-creative-writing/Ashktorab_2020_Human-AI_Collaboration.md,Successfully converted
31,Chakrabarty_2022_Poetry_Instruction_Tuning.pdf,pdfs/ai-creative-writing/Chakrabarty_2022_Poetry_Instruction_Tuning.pdf,ai-creative-writing,completed,Google Gemini 2.0 Flash,18054,8193,0.005083,2025-12-04T20:09:43.917118,16,md/ai-creative-writing/Chakrabarty_2022_Poetry_Instruction_Tuning.md,Successfully converted
32,Clark_2018_CreativeWriting_MachineLoop.pdf,pdfs/ai-creative-writing/Clark_2018_CreativeWriting_MachineLoop.pdf,ai-creative-writing,completed,Google Gemini 2.0 Flash,13906,8192,0.004667,2025-12-04T20:10:39.935372,12,md/ai-creative-writing/Clark_2018_CreativeWriting_MachineLoop.md,Successfully converted
33,Coenen_2022_Wordcraft_LLM.pdf,pdfs/ai-creative-writing/Coenen_2022_Wordcraft_LLM.pdf,ai-creative-writing,completed,Google Gemini 2.0 Flash,17821,8192,0.005059,2025-12-04T20:11:37.463104,12,md/ai-creative-writing/Coenen_2022_Wordcraft_LLM.md,Successfully converted
34,Ippolito_2022_AI_Writing_Assistant.pdf,pdfs/ai-creative-writing/Ippolito_2022_AI_Writing_Assistant.pdf,ai-creative-writing,completed,Google Gemini 2.0 Flash,18336,8192,0.005110,2025-12-04T20:12:32.626175,18,md/ai-creative-writing/Ippolito_2022_AI_Writing_Assistant.md,Successfully converted
35,Nguyen_2024_AI_Academic_Writing.pdf,pdfs/ai-creative-writing/Nguyen_2024_AI_Academic_Writing.pdf,ai-creative-writing,completed,Google Gemini 2.0 Flash,15687,8192,0.004845,2025-12-04T20:13:30.710558,19,md/ai-creative-writing/Nguyen_2024_AI_Academic_Writing.md,Successfully converted
36,Park_2023_AI_Writing_Issue.pdf,pdfs/ai-creative-writing/Park_2023_AI_Writing_Issue.pdf,ai-creative-writing,completed,Google Gemini 2.0 Flash,4198,3771,0.001928,2025-12-04T20:14:00.594372,4,md/ai-creative-writing/Park_2023_AI_Writing_Issue.md,Successfully converted
37,Qian_2023_Human-AI_Co-creativity.pdf,pdfs/ai-creative-writing/Qian_2023_Human-AI_Co-creativity.pdf,ai-creative-writing,completed,Google Gemini 2.0 Flash,26981,8192,0.005975,2025-12-04T20:14:56.177701,26,md/ai-creative-writing/Qian_2023_Human-AI_Co-creativity.md,Successfully converted
38,Ripamonti_2024_AI_Writing_Skills.pdf,pdfs/ai-creative-writing/Ripamonti_2024_AI_Writing_Skills.pdf,ai-creative-writing,completed,Google Gemini 2.0 Flash,3857,3401,0.001746,2025-12-04T20:15:24.483148,4,md/ai-creative-writing/Ripamonti_2024_AI_Writing_Skills.md,Successfully converted
39,Crosthwaite_2023_GenerativeAI_DDL.pdf,pdfs/ddl-research/Crosthwaite_2023_GenerativeAI_DDL.pdf,ddl-research,completed,Google Gemini 2.0 Flash,7465,6526,0.003357,2025-12-04T20:16:16.406029,4,md/ddl-research/Crosthwaite_2023_GenerativeAI_DDL.md,Successfully converted
40,Fithriani_2021_Poetry_EFL_Classrooms.pdf,pdfs/l2-poetry-pedagogy/Fithriani_2021_Poetry_EFL_Classrooms.pdf,l2-poetry-pedagogy,completed,Google Gemini 2.0 Flash,9663,8192,0.004243,2025-12-04T20:17:17.020736,17,md/l2-poetry-pedagogy/Fithriani_2021_Poetry_EFL_Classrooms.md,Successfully converted
41,Hanauer_2010_Poetry_L2Writing_Research.pdf,pdfs/l2-poetry-pedagogy/Hanauer_2010_Poetry_L2Writing_Research.pdf,l2-poetry-pedagogy,completed,Google Gemini 2.0 Flash,100087,8192,0.013286,2025-12-04T20:17:58.216503,180,md/l2-poetry-pedagogy/Hanauer_2010_Poetry_L2Writing_Research.md,Successfully converted
42,Kerbs_2024_Poetry_Scaffolding.pdf,pdfs/l2-poetry-pedagogy/Kerbs_2024_Poetry_Scaffolding.pdf,l2-poetry-pedagogy,completed,Google Gemini 2.0 Flash,12191,8192,0.004496,2025-12-04T20:19:01.781997,10,md/l2-poetry-pedagogy/Kerbs_2024_Poetry_Scaffolding.md,Successfully converted
43,McGregor_2016_Computer_Poetry_Evaluation.pdf,pdfs/l2-poetry-pedagogy/McGregor_2016_Computer_Poetry_Evaluation.pdf,l2-poetry-pedagogy,completed,Google Gemini 2.0 Flash,10051,8192,0.004282,2025-12-04T20:20:04.588486,10,md/l2-poetry-pedagogy/McGregor_2016_Computer_Poetry_Evaluation.md,Successfully converted
44,Li_2025_Generative_AI_L2Writing.pdf,pdfs/l2-writing-ai/Li_2025_Generative_AI_L2Writing.pdf,l2-writing-ai,completed,Google Gemini 2.0 Flash,22379,8192,0.005515,2025-12-04T20:21:07.617143,31,md/l2-writing-ai/Li_2025_Generative_AI_L2Writing.md,Successfully converted
45,Lyster_Ranta_1997_Feedback_Uptake.pdf,pdfs/l2-writing-ai/Lyster_Ranta_1997_Feedback_Uptake.pdf,l2-writing-ai,completed,Google Gemini 2.0 Flash,389373,8072,0.042166,2025-12-04T20:22:00.537127,30,md/l2-writing-ai/Lyster_Ranta_1997_Feedback_Uptake.md,Successfully converted
46,Michel_2025_Collaborative_Writing_AI.pdf,pdfs/l2-writing-ai/Michel_2025_Collaborative_Writing_AI.pdf,l2-writing-ai,completed,Google Gemini 2.0 Flash,22087,8192,0.005485,2025-12-04T20:23:02.719504,15,md/l2-writing-ai/Michel_2025_Collaborative_Writing_AI.md,Successfully converted
47,Nazik_2024_AI_Creative_Writing_Secondary.pdf,pdfs/l2-writing-ai/Nazik_2024_AI_Creative_Writing_Secondary.pdf,l2-writing-ai,completed,Google Gemini 2.0 Flash,2865,2178,0.001158,2025-12-04T20:23:24.214021,3,md/l2-writing-ai/Nazik_2024_AI_Creative_Writing_Secondary.md,Successfully converted
48,Shaumiwaty_2025_AI_Education_CaseStudy.pdf,pdfs/l2-writing-ai/Shaumiwaty_2025_AI_Education_CaseStudy.pdf,l2-writing-ai,completed,Google Gemini 2.0 Flash,7974,7500,0.003797,2025-12-04T20:24:21.368199,7,md/l2-writing-ai/Shaumiwaty_2025_AI_Education_CaseStudy.md,Successfully converted
49,Wang_2024_AI_Writing_Processes.pdf,pdfs/l2-writing-ai/Wang_2024_AI_Writing_Processes.pdf,l2-writing-ai,completed,Google Gemini 2.0 Flash,19536,8192,0.005230,2025-12-04T20:25:18.535549,22,md/l2-writing-ai/Wang_2024_AI_Writing_Processes.md,Successfully converted
50,Wang_Wang_2025_Critical_AI_Literacy.pdf,pdfs/l2-writing-ai/Wang_Wang_2025_Critical_AI_Literacy.pdf,l2-writing-ai,completed,Google Gemini 2.0 Flash,21157,8192,0.005392,2025-12-04T20:26:21.332143,17,md/l2-writing-ai/Wang_Wang_2025_Critical_AI_Literacy.md,Successfully converted
51,Franceschelli_2025_LLM_Creativity.pdf,pdfs/parameter-studies/Franceschelli_2025_LLM_Creativity.pdf,parameter-studies,completed,Google Gemini 2.0 Flash,18401,8192,0.005117,2025-12-04T20:28:20.069409,11,md/parameter-studies/Franceschelli_2025_LLM_Creativity.md,Successfully converted
52,Holtzman_2019_Neural_Text_Degeneration.pdf,pdfs/parameter-studies/Holtzman_2019_Neural_Text_Degeneration.pdf,parameter-studies,completed,Google Gemini 2.0 Flash,14488,8193,0.004726,2025-12-04T20:29:21.646178,16,md/parameter-studies/Holtzman_2019_Neural_Text_Degeneration.md,Successfully converted
53,Li_2025_Temperature_Impact_LLM.pdf,pdfs/parameter-studies/Li_2025_Temperature_Impact_LLM.pdf,parameter-studies,completed,Google Gemini 2.0 Flash,14460,8192,0.004723,2025-12-04T20:30:18.849819,10,md/parameter-studies/Li_2025_Temperature_Impact_LLM.md,Successfully converted
54,Optimizing_AI_L2Writing_Temperature.pdf,pdfs/parameter-studies/Optimizing_AI_L2Writing_Temperature.pdf,parameter-studies,completed,Google Gemini 2.0 Flash,14561,8192,0.004733,2025-12-04T20:31:19.088882,24,md/parameter-studies/Optimizing_AI_L2Writing_Temperature.md,Successfully converted
55,Orwig_2024_Language_Creativity.pdf,pdfs/parameter-studies/Orwig_2024_Language_Creativity.pdf,parameter-studies,completed,Google Gemini 2.0 Flash,13270,8192,0.004604,2025-12-04T20:32:19.071969,14,md/parameter-studies/Orwig_2024_Language_Creativity.md,Successfully converted
56,Peeperkorn_2024_Temperature_Creativity.pdf,pdfs/parameter-studies/Peeperkorn_2024_Temperature_Creativity.pdf,parameter-studies,completed,Google Gemini 2.0 Flash,15661,8191,0.004843,2025-12-04T20:33:24.181618,10,md/parameter-studies/Peeperkorn_2024_Temperature_Creativity.md,Successfully converted
57,Ravfogel_2023_Nucleus_Sampling.pdf,pdfs/parameter-studies/Ravfogel_2023_Nucleus_Sampling.pdf,parameter-studies,completed,Google Gemini 2.0 Flash,6454,6068,0.003073,2025-12-04T20:34:08.433841,6,md/parameter-studies/Ravfogel_2023_Nucleus_Sampling.md,Successfully converted
58,Uzumcu_2025_Turkish_LLM_Parameters.pdf,pdfs/parameter-studies/Uzumcu_2025_Turkish_LLM_Parameters.pdf,parameter-studies,completed,Google Gemini 2.0 Flash,8144,7704,0.003896,2025-12-04T20:35:04.028417,4,md/parameter-studies/Uzumcu_2025_Turkish_LLM_Parameters.md,Successfully converted
59,Zhao_2025_Assessing_LLM_Creativity.pdf,pdfs/parameter-studies/Zhao_2025_Assessing_LLM_Creativity.pdf,parameter-studies,completed,Google Gemini 2.0 Flash,27623,8192,0.006039,2025-12-04T20:36:02.733256,20,md/parameter-studies/Zhao_2025_Assessing_LLM_Creativity.md,Successfully converted
