provider,model_id,name,context_length,prompt_cost,completion_cost,created,description
OpenRouter,allenai/olmo-3-7b-think,AllenAI: Olmo 3 7B Think,65536,0.00000012,0.0000002,1763758270,Olmo 3 7B Think is a research-oriented language model in the Olmo family designed for advanced reaso
OpenRouter,google/gemini-3-pro-image-preview,Google: Nano Banana Pro (Gemini 3 Pro Image Preview),65536,0.000002,0.000012,1763653797,"Nano Banana Pro is Google’s most advanced image-generation and editing model, built on Gemini 3 Pro."
OpenRouter,x-ai/grok-4.1-fast,xAI: Grok 4.1 Fast,2000000,0.0000002,0.0000005,1763587502,Grok 4.1 Fast is xAI's best agentic tool calling model that shines in real-world use cases like cust
OpenRouter,google/gemini-3-pro-preview,Google: Gemini 3 Pro Preview,1048576,0.000002,0.000012,1763474668,"Gemini 3 Pro is Google’s flagship frontier model for high-precision multimodal reasoning, combining "
OpenRouter,deepcogito/cogito-v2.1-671b,Deep Cogito: Cogito v2.1 671B,128000,0.00000125,0.00000125,1763071233,"Cogito v2.1 671B MoE represents one of the strongest open models globally, matching performance of f"
OpenRouter,openai/gpt-5.1,OpenAI: GPT-5.1,400000,0.00000125,0.00001,1763060305,"GPT-5.1 is the latest frontier-grade model in the GPT-5 series, offering stronger general-purpose re"
OpenRouter,openai/gpt-5.1-chat,OpenAI: GPT-5.1 Chat,128000,0.00000125,0.00001,1763060302,"GPT-5.1 Chat (AKA Instant is the fast, lightweight member of the 5.1 family, optimized for low-laten"
OpenRouter,openai/gpt-5.1-codex,OpenAI: GPT-5.1-Codex,400000,0.00000125,0.00001,1763060298,GPT-5.1-Codex is a specialized version of GPT-5.1 optimized for software engineering and coding work
OpenRouter,openai/gpt-5.1-codex-mini,OpenAI: GPT-5.1-Codex-Mini,400000,0.00000025,0.000002,1763057820,GPT-5.1-Codex-Mini is a smaller and faster version of GPT-5.1-Codex
OpenRouter,kwaipilot/kat-coder-pro:free,Kwaipilot: KAT-Coder-Pro V1 (free),256000,0,0,1762745912,KAT-Coder-Pro V1 is KwaiKAT's most advanced agentic coding model in the KAT-Coder series. Designed s
OpenRouter,moonshotai/kimi-linear-48b-a3b-instruct,MoonshotAI: Kimi Linear 48B A3B Instruct,1048576,0.0000005,0.0000006,1762565833,Kimi Linear is a hybrid linear attention architecture that outperforms traditional full attention me
OpenRouter,moonshotai/kimi-k2-thinking,MoonshotAI: Kimi K2 Thinking,262144,0.00000045,0.00000235,1762440622,"Kimi K2 Thinking is Moonshot AI’s most advanced open reasoning model to date, extending the K2 serie"
OpenRouter,amazon/nova-premier-v1,Amazon: Nova Premier 1.0,1000000,0.0000025,0.0000125,1761950332,Amazon Nova Premier is the most capable of Amazon’s multimodal models for complex reasoning tasks an
OpenRouter,perplexity/sonar-pro-search,Perplexity: Sonar Pro Search,200000,0.000003,0.000015,1761854366,"Exclusively available on the OpenRouter API, Sonar Pro's new Pro Search mode is Perplexity's most ad"
OpenRouter,mistralai/voxtral-small-24b-2507,Mistral: Voxtral Small 24B 2507,32000,0.0000001,0.0000003,1761835144,"Voxtral Small is an enhancement of Mistral Small 3, incorporating state-of-the-art audio input capab"
OpenRouter,openai/gpt-oss-safeguard-20b,OpenAI: gpt-oss-safeguard-20b,131072,0.000000075,0.0000003,1761752836,gpt-oss-safeguard-20b is a safety reasoning model from OpenAI built upon gpt-oss-20b. This open-weig
OpenRouter,nvidia/nemotron-nano-12b-v2-vl:free,NVIDIA: Nemotron Nano 12B 2 VL (free),128000,0,0,1761675565,NVIDIA Nemotron Nano 2 VL is a 12-billion-parameter open multimodal reasoning model designed for vid
OpenRouter,nvidia/nemotron-nano-12b-v2-vl,NVIDIA: Nemotron Nano 12B 2 VL,131072,0.0000002,0.0000006,1761675565,NVIDIA Nemotron Nano 2 VL is a 12-billion-parameter open multimodal reasoning model designed for vid
OpenRouter,minimax/minimax-m2,MiniMax: MiniMax M2,204800,0.000000255,0.00000102,1761252093,"MiniMax-M2 is a compact, high-efficiency large language model optimized for end-to-end coding and ag"
OpenRouter,liquid/lfm2-8b-a1b,LiquidAI/LFM2-8B-A1B,32768,0.00000005,0.0000001,1760970984,Model created via inbox interface
OpenRouter,liquid/lfm-2.2-6b,LiquidAI/LFM2-2.6B,32768,0.00000005,0.0000001,1760970889,"LFM2 is a new generation of hybrid models developed by Liquid AI, specifically designed for edge AI "
OpenRouter,ibm-granite/granite-4.0-h-micro,IBM: Granite 4.0 Micro,131000,0.000000017,0.00000011,1760927695,Granite-4.0-H-Micro is a 3B parameter from the Granite 4 family of models. These models are the late
OpenRouter,deepcogito/cogito-v2-preview-llama-405b,Deep Cogito: Cogito V2 Preview Llama 405B,32768,0.0000035,0.0000035,1760709933,Cogito v2 405B is a dense hybrid reasoning model that combines direct answering capabilities with ad
OpenRouter,openai/gpt-5-image-mini,OpenAI: GPT-5 Image Mini,400000,0.0000025,0.000002,1760624583,"GPT-5 Image Mini combines OpenAI's advanced language capabilities, powered by [GPT-5 Mini](https://o"
OpenRouter,anthropic/claude-haiku-4.5,Anthropic: Claude Haiku 4.5,200000,0.000001,0.000005,1760547638,"Claude Haiku 4.5 is Anthropic’s fastest and most efficient model, delivering near-frontier intellige"
OpenRouter,qwen/qwen3-vl-8b-thinking,Qwen: Qwen3 VL 8B Thinking,256000,0.00000018,0.0000021,1760463746,"Qwen3-VL-8B-Thinking is the reasoning-optimized variant of the Qwen3-VL-8B multimodal model, designe"
OpenRouter,qwen/qwen3-vl-8b-instruct,Qwen: Qwen3 VL 8B Instruct,131072,0.000000064,0.0000004,1760463308,"Qwen3-VL-8B-Instruct is a multimodal vision-language model from the Qwen3-VL series, built for high-"
OpenRouter,openai/gpt-5-image,OpenAI: GPT-5 Image,400000,0.00001,0.00001,1760447986,[GPT-5](https://openrouter.ai/openai/gpt-5) Image combines OpenAI's most advanced language model wit
OpenRouter,openai/o3-deep-research,OpenAI: o3 Deep Research,200000,0.00001,0.00004,1760129661,"o3-deep-research is OpenAI's advanced model for deep research, designed to tackle complex, multi-ste"
OpenRouter,openai/o4-mini-deep-research,OpenAI: o4 Mini Deep Research,200000,0.000002,0.000008,1760129642,"o4-mini-deep-research is OpenAI's faster, more affordable deep research model—ideal for tackling com"
OpenRouter,nvidia/llama-3.3-nemotron-super-49b-v1.5,NVIDIA: Llama 3.3 Nemotron Super 49B V1.5,131072,0.0000001,0.0000004,1760101395,"Llama-3.3-Nemotron-Super-49B-v1.5 is a 49B-parameter, English-centric reasoning/chat model derived f"
OpenRouter,baidu/ernie-4.5-21b-a3b-thinking,Baidu: ERNIE 4.5 21B A3B Thinking,131072,0.000000056,0.000000224,1760048887,"ERNIE-4.5-21B-A3B-Thinking is Baidu's upgraded lightweight MoE model, refined to boost reasoning dep"
OpenRouter,google/gemini-2.5-flash-image,Google: Gemini 2.5 Flash Image (Nano Banana),32768,0.0000003,0.0000025,1759870431,"Gemini 2.5 Flash Image, a.k.a. ""Nano Banana,"" is now generally available. It is a state of the art i"
OpenRouter,qwen/qwen3-vl-30b-a3b-thinking,Qwen: Qwen3 VL 30B A3B Thinking,131072,0.00000016,0.0000008,1759794479,Qwen3-VL-30B-A3B-Thinking is a multimodal model that unifies strong text generation with visual unde
OpenRouter,qwen/qwen3-vl-30b-a3b-instruct,Qwen: Qwen3 VL 30B A3B Instruct,262144,0.00000015,0.0000006,1759794476,Qwen3-VL-30B-A3B-Instruct is a multimodal model that unifies strong text generation with visual unde
OpenRouter,openai/gpt-5-pro,OpenAI: GPT-5 Pro,400000,0.000015,0.00012,1759776663,"GPT-5 Pro is OpenAI’s most advanced model, offering major improvements in reasoning, code quality, a"
OpenRouter,z-ai/glm-4.6,Z.AI: GLM 4.6,202752,0.0000004,0.00000175,1759235576,"Compared with GLM-4.5, this generation brings several key improvements:

Longer context window: The "
OpenRouter,z-ai/glm-4.6:exacto,Z.AI: GLM 4.6 (exacto),202752,0.00000043,0.00000175,1759235576,"Compared with GLM-4.5, this generation brings several key improvements:

Longer context window: The "
OpenRouter,anthropic/claude-sonnet-4.5,Anthropic: Claude Sonnet 4.5,1000000,0.000003,0.000015,1759161676,"Claude Sonnet 4.5 is Anthropic’s most advanced Sonnet model to date, optimized for real-world agents"
OpenRouter,deepseek/deepseek-v3.2-exp,DeepSeek: DeepSeek V3.2 Exp,163840,0.00000021,0.00000032,1759150481,DeepSeek-V3.2-Exp is an experimental large language model released by DeepSeek as an intermediate st
OpenRouter,thedrummer/cydonia-24b-v4.1,TheDrummer: Cydonia 24B V4.1,131072,0.0000003,0.0000005,1758931878,"Uncensored and creative writing model based on Mistral Small 3.2 24B with good recall, prompt adhere"
OpenRouter,relace/relace-apply-3,Relace: Relace Apply 3,256000,0.00000085,0.00000125,1758891572,Relace Apply 3 is a specialized code-patching LLM that merges AI-suggested edits straight into your 
OpenRouter,google/gemini-2.5-flash-preview-09-2025,Google: Gemini 2.5 Flash Preview 09-2025,1048576,0.0000003,0.0000025,1758820178,"Gemini 2.5 Flash Preview September 2025 Checkpoint is Google's state-of-the-art workhorse model, spe"
OpenRouter,google/gemini-2.5-flash-lite-preview-09-2025,Google: Gemini 2.5 Flash Lite Preview 09-2025,1048576,0.0000001,0.0000004,1758819686,"Gemini 2.5 Flash-Lite is a lightweight reasoning model in the Gemini 2.5 family, optimized for ultra"
OpenRouter,qwen/qwen3-vl-235b-a22b-thinking,Qwen: Qwen3 VL 235B A22B Thinking,262144,0.0000003,0.0000012,1758668690,Qwen3-VL-235B-A22B Thinking is a multimodal model that unifies strong text generation with visual un
OpenRouter,qwen/qwen3-vl-235b-a22b-instruct,Qwen: Qwen3 VL 235B A22B Instruct,262144,0.0000002,0.0000012,1758668687,Qwen3-VL-235B-A22B Instruct is an open-weight multimodal model that unifies strong text generation w
OpenRouter,qwen/qwen3-max,Qwen: Qwen3 Max,256000,0.0000012,0.000006,1758662808,"Qwen3-Max is an updated release built on the Qwen3 series, offering major improvements in reasoning,"
OpenRouter,qwen/qwen3-coder-plus,Qwen: Qwen3 Coder Plus,128000,0.000001,0.000005,1758662707,Qwen3 Coder Plus is Alibaba's proprietary version of the Open Source Qwen3 Coder 480B A35B. It is a 
OpenRouter,openai/gpt-5-codex,OpenAI: GPT-5 Codex,400000,0.00000125,0.00001,1758643403,GPT-5-Codex is a specialized version of GPT-5 optimized for software engineering and coding workflow
OpenRouter,deepseek/deepseek-v3.1-terminus:exacto,DeepSeek: DeepSeek V3.1 Terminus (exacto),163840,0.00000021,0.00000079,1758548275,DeepSeek-V3.1 Terminus is an update to [DeepSeek V3.1](/deepseek/deepseek-chat-v3.1) that maintains 
OpenRouter,deepseek/deepseek-v3.1-terminus,DeepSeek: DeepSeek V3.1 Terminus,163840,0.00000021,0.00000079,1758548275,DeepSeek-V3.1 Terminus is an update to [DeepSeek V3.1](/deepseek/deepseek-chat-v3.1) that maintains 
OpenRouter,x-ai/grok-4-fast,xAI: Grok 4 Fast,2000000,0.0000002,0.0000005,1758240090,Grok 4 Fast is xAI's latest multimodal model with SOTA cost-efficiency and a 2M token context window
OpenRouter,alibaba/tongyi-deepresearch-30b-a3b:free,Tongyi DeepResearch 30B A3B (free),131072,0,0,1758210804,"Tongyi DeepResearch is an agentic large language model developed by Tongyi Lab, with 30 billion tota"
OpenRouter,alibaba/tongyi-deepresearch-30b-a3b,Tongyi DeepResearch 30B A3B,131072,0.00000009,0.0000004,1758210804,"Tongyi DeepResearch is an agentic large language model developed by Tongyi Lab, with 30 billion tota"
OpenRouter,qwen/qwen3-coder-flash,Qwen: Qwen3 Coder Flash,128000,0.0000003,0.0000015,1758115536,Qwen3 Coder Flash is Alibaba's fast and cost efficient version of their proprietary Qwen3 Coder Plus
OpenRouter,opengvlab/internvl3-78b,OpenGVLab: InternVL3 78B,32768,0.00000007,0.00000026,1757962555,The InternVL3 series is an advanced multimodal large language model (MLLM). Compared to InternVL 2.5
OpenRouter,qwen/qwen3-next-80b-a3b-thinking,Qwen: Qwen3 Next 80B A3B Thinking,131072,0.00000012,0.0000012,1757612284,Qwen3-Next-80B-A3B-Thinking is a reasoning-first chat model in the Qwen3-Next line that outputs stru
OpenRouter,qwen/qwen3-next-80b-a3b-instruct,Qwen: Qwen3 Next 80B A3B Instruct,262144,0.0000001,0.0000008,1757612213,Qwen3-Next-80B-A3B-Instruct is an instruction-tuned chat model in the Qwen3-Next series optimized fo
OpenRouter,meituan/longcat-flash-chat:free,Meituan: LongCat Flash Chat (free),131072,0,0,1757427658,"LongCat-Flash-Chat is a large-scale Mixture-of-Experts (MoE) model with 560B total parameters, of wh"
OpenRouter,meituan/longcat-flash-chat,Meituan: LongCat Flash Chat,131072,0.00000015,0.00000075,1757427658,"LongCat-Flash-Chat is a large-scale Mixture-of-Experts (MoE) model with 560B total parameters, of wh"
OpenRouter,qwen/qwen-plus-2025-07-28,Qwen: Qwen Plus 0728,1000000,0.0000004,0.0000012,1757347599,"Qwen Plus 0728, based on the Qwen3 foundation model, is a 1 million context hybrid reasoning model w"
OpenRouter,qwen/qwen-plus-2025-07-28:thinking,Qwen: Qwen Plus 0728 (thinking),1000000,0.0000004,0.000004,1757347599,"Qwen Plus 0728, based on the Qwen3 foundation model, is a 1 million context hybrid reasoning model w"
OpenRouter,nvidia/nemotron-nano-9b-v2:free,NVIDIA: Nemotron Nano 9B V2 (free),128000,0,0,1757106807,"NVIDIA-Nemotron-Nano-9B-v2 is a large language model (LLM) trained from scratch by NVIDIA, and desig"
OpenRouter,nvidia/nemotron-nano-9b-v2,NVIDIA: Nemotron Nano 9B V2,131072,0.00000004,0.00000016,1757106807,"NVIDIA-Nemotron-Nano-9B-v2 is a large language model (LLM) trained from scratch by NVIDIA, and desig"
OpenRouter,moonshotai/kimi-k2-0905,MoonshotAI: Kimi K2 0905,262144,0.00000039,0.0000019,1757021147,Kimi K2 0905 is the September update of [Kimi K2 0711](moonshotai/kimi-k2). It is a large-scale Mixt
OpenRouter,moonshotai/kimi-k2-0905:exacto,MoonshotAI: Kimi K2 0905 (exacto),262144,0.0000006,0.0000025,1757021147,Kimi K2 0905 is the September update of [Kimi K2 0711](moonshotai/kimi-k2). It is a large-scale Mixt
OpenRouter,deepcogito/cogito-v2-preview-llama-70b,Deep Cogito: Cogito V2 Preview Llama 70B,32768,0.00000088,0.00000088,1756831784,Cogito v2 70B is a dense hybrid reasoning model that combines direct answering capabilities with adv
OpenRouter,deepcogito/cogito-v2-preview-llama-109b-moe,Cogito V2 Preview Llama 109B,32767,0.00000018,0.00000059,1756831568,"An instruction-tuned, hybrid-reasoning Mixture-of-Experts model built on Llama-4-Scout-17B-16E. Cogi"
OpenRouter,deepcogito/cogito-v2-preview-deepseek-671b,Deep Cogito: Cogito V2 Preview Deepseek 671B,163840,0.00000125,0.00000125,1756830949,"Cogito v2 is a multilingual, instruction-tuned Mixture of Experts (MoE) large language model with 67"
OpenRouter,stepfun-ai/step3,StepFun: Step3,65536,0.00000057,0.00000142,1756415375,Step3 is a cutting-edge multimodal reasoning model—built on a Mixture-of-Experts architecture with 3
OpenRouter,qwen/qwen3-30b-a3b-thinking-2507,Qwen: Qwen3 30B A3B Thinking 2507,32768,0.000000051,0.00000034,1756399192,Qwen3-30B-A3B-Thinking-2507 is a 30B parameter Mixture-of-Experts reasoning model optimized for comp
OpenRouter,x-ai/grok-code-fast-1,xAI: Grok Code Fast 1,256000,0.0000002,0.0000015,1756238927,Grok Code Fast 1 is a speedy and economical reasoning model that excels at agentic coding. With reas
OpenRouter,nousresearch/hermes-4-70b,Nous: Hermes 4 70B,131072,0.00000011,0.00000038,1756236182,"Hermes 4 70B is a hybrid reasoning model from Nous Research, built on Meta-Llama-3.1-70B. It introdu"
OpenRouter,nousresearch/hermes-4-405b,Nous: Hermes 4 405B,131072,0.0000003,0.0000012,1756235463,Hermes 4 is a large-scale reasoning model built on Meta-Llama-3.1-405B and released by Nous Research
OpenRouter,google/gemini-2.5-flash-image-preview,Google: Gemini 2.5 Flash Image Preview (Nano Banana),32768,0.0000003,0.0000025,1756218977,"Gemini 2.5 Flash Image Preview, a.k.a. ""Nano Banana,"" is a state of the art image generation model w"
OpenRouter,deepseek/deepseek-chat-v3.1,DeepSeek: DeepSeek V3.1,163840,0.0000002,0.0000008,1755779628,"DeepSeek-V3.1 is a large hybrid reasoning model (671B parameters, 37B active) that supports both thi"
OpenRouter,openai/gpt-4o-audio-preview,OpenAI: GPT-4o Audio,128000,0.0000025,0.00001,1755233061,The gpt-4o-audio-preview model adds support for audio inputs as prompts. This enhancement allows the
OpenRouter,mistralai/mistral-medium-3.1,Mistral: Mistral Medium 3.1,131072,0.0000004,0.000002,1755095639,"Mistral Medium 3.1 is an updated version of Mistral Medium 3, which is a high-performance enterprise"
OpenRouter,baidu/ernie-4.5-21b-a3b,Baidu: ERNIE 4.5 21B A3B,120000,0.000000056,0.000000224,1755034167,A sophisticated text-based Mixture-of-Experts (MoE) model featuring 21B total parameters with 3B act
OpenRouter,baidu/ernie-4.5-vl-28b-a3b,Baidu: ERNIE 4.5 VL 28B A3B,30000,0.000000112,0.000000448,1755032836,A powerful multimodal Mixture-of-Experts chat model featuring 28B total parameters with 3B activated
OpenRouter,z-ai/glm-4.5v,Z.AI: GLM 4.5V,65536,0.00000048,0.00000144,1754922288,GLM-4.5V is a vision-language foundation model for multimodal agent applications. Built on a Mixture
OpenRouter,ai21/jamba-mini-1.7,AI21: Jamba Mini 1.7,256000,0.0000002,0.0000004,1754670601,"Jamba Mini 1.7 is a compact and efficient member of the Jamba open model family, incorporating key i"
OpenRouter,ai21/jamba-large-1.7,AI21: Jamba Large 1.7,256000,0.000002,0.000008,1754669020,"Jamba Large 1.7 is the latest model in the Jamba open family, offering improvements in grounding, in"
OpenRouter,openai/gpt-5-chat,OpenAI: GPT-5 Chat,128000,0.00000125,0.00001,1754587837,"GPT-5 Chat is designed for advanced, natural, multimodal, and context-aware conversations for enterp"
OpenRouter,openai/gpt-5,OpenAI: GPT-5,400000,0.00000125,0.00001,1754587413,"GPT-5 is OpenAI’s most advanced model, offering major improvements in reasoning, code quality, and u"
OpenRouter,openai/gpt-5-mini,OpenAI: GPT-5 Mini,400000,0.00000025,0.000002,1754587407,"GPT-5 Mini is a compact version of GPT-5, designed to handle lighter-weight reasoning tasks. It prov"
OpenRouter,openai/gpt-5-nano,OpenAI: GPT-5 Nano,400000,0.00000005,0.0000004,1754587402,"GPT-5-Nano is the smallest and fastest variant in the GPT-5 system, optimized for developer tools, r"
OpenRouter,openai/gpt-oss-120b:exacto,OpenAI: gpt-oss-120b (exacto),131072,0.00000004,0.0000002,1754414231,"gpt-oss-120b is an open-weight, 117B-parameter Mixture-of-Experts (MoE) language model from OpenAI d"
OpenRouter,openai/gpt-oss-120b,OpenAI: gpt-oss-120b,131072,0.00000004,0.0000002,1754414231,"gpt-oss-120b is an open-weight, 117B-parameter Mixture-of-Experts (MoE) language model from OpenAI d"
OpenRouter,openai/gpt-oss-20b:free,OpenAI: gpt-oss-20b (free),131072,0,0,1754414229,gpt-oss-20b is an open-weight 21B parameter model released by OpenAI under the Apache 2.0 license. I
OpenRouter,openai/gpt-oss-20b,OpenAI: gpt-oss-20b,131072,0.00000003,0.00000014,1754414229,gpt-oss-20b is an open-weight 21B parameter model released by OpenAI under the Apache 2.0 license. I
OpenRouter,anthropic/claude-opus-4.1,Anthropic: Claude Opus 4.1,200000,0.000015,0.000075,1754411591,"Claude Opus 4.1 is an updated version of Anthropic’s flagship model, offering improved performance i"
OpenRouter,mistralai/codestral-2508,Mistral: Codestral 2508,256000,0.0000003,0.0000009,1754079630,Mistral's cutting-edge language model for coding released end of July 2025. Codestral specializes in
OpenRouter,qwen/qwen3-coder-30b-a3b-instruct,Qwen: Qwen3 Coder 30B A3B Instruct,262144,0.00000006,0.00000025,1753972379,Qwen3-Coder-30B-A3B-Instruct is a 30.5B parameter Mixture-of-Experts (MoE) model with 128 experts (8
OpenRouter,qwen/qwen3-30b-a3b-instruct-2507,Qwen: Qwen3 30B A3B Instruct 2507,262144,0.00000008,0.00000033,1753806965,"Qwen3-30B-A3B-Instruct-2507 is a 30.5B-parameter mixture-of-experts language model from Qwen, with 3"
OpenRouter,z-ai/glm-4.5,Z.AI: GLM 4.5,131072,0.00000035,0.00000155,1753471347,"GLM-4.5 is our latest flagship foundation model, purpose-built for agent-based applications. It leve"
OpenRouter,z-ai/glm-4.5-air:free,Z.AI: GLM 4.5 Air (free),131072,0,0,1753471258,"GLM-4.5-Air is the lightweight variant of our latest flagship model family, also purpose-built for a"
OpenRouter,z-ai/glm-4.5-air,Z.AI: GLM 4.5 Air,131072,0.000000104,0.00000068,1753471258,"GLM-4.5-Air is the lightweight variant of our latest flagship model family, also purpose-built for a"
OpenRouter,qwen/qwen3-235b-a22b-thinking-2507,Qwen: Qwen3 235B A22B Thinking 2507,262144,0.00000011,0.0000006,1753449557,"Qwen3-235B-A22B-Thinking-2507 is a high-performance, open-weight Mixture-of-Experts (MoE) language m"
OpenRouter,z-ai/glm-4-32b,Z.AI: GLM 4 32B ,128000,0.0000001,0.0000001,1753376617,"GLM 4 32B is a cost-effective foundation language model.

It can efficiently perform complex tasks a"
OpenRouter,qwen/qwen3-coder:free,Qwen: Qwen3 Coder 480B A35B (free),262000,0,0,1753230546,Qwen3-Coder-480B-A35B-Instruct is a Mixture-of-Experts (MoE) code generation model developed by the 
OpenRouter,qwen/qwen3-coder,Qwen: Qwen3 Coder 480B A35B,262144,0.00000022,0.00000095,1753230546,Qwen3-Coder-480B-A35B-Instruct is a Mixture-of-Experts (MoE) code generation model developed by the 
OpenRouter,qwen/qwen3-coder:exacto,Qwen: Qwen3 Coder 480B A35B (exacto),262144,0.00000038,0.00000153,1753230546,Qwen3-Coder-480B-A35B-Instruct is a Mixture-of-Experts (MoE) code generation model developed by the 
OpenRouter,bytedance/ui-tars-1.5-7b,ByteDance: UI-TARS 7B ,128000,0.0000001,0.0000002,1753205056,"UI-TARS-1.5 is a multimodal vision-language agent optimized for GUI-based environments, including de"
OpenRouter,google/gemini-2.5-flash-lite,Google: Gemini 2.5 Flash Lite,1048576,0.0000001,0.0000004,1753200276,"Gemini 2.5 Flash-Lite is a lightweight reasoning model in the Gemini 2.5 family, optimized for ultra"
OpenRouter,qwen/qwen3-235b-a22b-2507,Qwen: Qwen3 235B A22B Instruct 2507,262144,0.000000071,0.000000463,1753119555,"Qwen3-235B-A22B-Instruct-2507 is a multilingual, instruction-tuned mixture-of-experts language model"
OpenRouter,switchpoint/router,Switchpoint Router,131072,0.00000085,0.0000034,1752272899,Switchpoint AI's router instantly analyzes your request and directs it to the optimal AI from an eve
OpenRouter,moonshotai/kimi-k2:free,MoonshotAI: Kimi K2 0711 (free),32768,0,0,1752263252,"Kimi K2 Instruct is a large-scale Mixture-of-Experts (MoE) language model developed by Moonshot AI, "
OpenRouter,moonshotai/kimi-k2,MoonshotAI: Kimi K2 0711,131072,0.000000456,0.00000184,1752263252,"Kimi K2 Instruct is a large-scale Mixture-of-Experts (MoE) language model developed by Moonshot AI, "
OpenRouter,thudm/glm-4.1v-9b-thinking,THUDM: GLM 4.1V 9B Thinking,65536,0.000000028,0.0000001104,1752244385,"GLM-4.1V-9B-Thinking is a 9B parameter vision-language model developed by THUDM, based on the GLM-4-"
OpenRouter,mistralai/devstral-medium,Mistral: Devstral Medium,131072,0.0000004,0.000002,1752161321,Devstral Medium is a high-performance code generation and agentic reasoning model developed jointly 
OpenRouter,mistralai/devstral-small,Mistral: Devstral Small 1.1,128000,0.00000007,0.00000028,1752160751,"Devstral Small 1.1 is a 24B parameter open-weight language model for software engineering agents, de"
OpenRouter,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,Venice: Uncensored (free),32768,0,0,1752094966,Venice Uncensored Dolphin Mistral 24B Venice Edition is a fine-tuned variant of Mistral-Small-24B-In
OpenRouter,x-ai/grok-4,xAI: Grok 4,256000,0.000003,0.000015,1752087689,Grok 4 is xAI's latest reasoning model with a 256k context window. It supports parallel tool calling
OpenRouter,google/gemma-3n-e2b-it:free,Google: Gemma 3n 2B (free),8192,0,0,1752074904,"Gemma 3n E2B IT is a multimodal, instruction-tuned model developed by Google DeepMind, designed to o"
OpenRouter,tencent/hunyuan-a13b-instruct,Tencent: Hunyuan A13B Instruct,131072,0.00000014,0.00000057,1751987664,"Hunyuan-A13B is a 13B active parameter Mixture-of-Experts (MoE) language model developed by Tencent,"
OpenRouter,tngtech/deepseek-r1t2-chimera:free,TNG: DeepSeek R1T2 Chimera (free),163840,0,0,1751986985,DeepSeek-TNG-R1T2-Chimera is the second-generation Chimera model from TNG Tech. It is a 671 B-parame
OpenRouter,tngtech/deepseek-r1t2-chimera,TNG: DeepSeek R1T2 Chimera,163840,0.0000003,0.0000012,1751986985,DeepSeek-TNG-R1T2-Chimera is the second-generation Chimera model from TNG Tech. It is a 671 B-parame
OpenRouter,morph/morph-v3-large,Morph: Morph V3 Large,262144,0.0000009,0.0000019,1751910858,"Morph's high-accuracy apply model for complex code edits. ~4,500 tokens/sec with 98% accuracy for pr"
